tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,34098,7066,9207996,146963,2017-08-01 16:23:56
892177421306343426,29587,5341,9207996,146963,2017-08-01 00:17:27
891815181378084864,22284,3510,9207996,146963,2017-07-31 00:18:03
891689557279858688,37264,7279,9207996,146963,2017-07-30 15:58:51
891327558926688256,35578,7810,9208436,146963,2017-07-29 16:00:24
891087950875897856,17973,2622,9207996,146963,2017-07-29 00:08:17
890971913173991426,10462,1682,9207996,146963,2017-07-28 16:27:12
890729181411237888,57304,15887,9207996,146963,2017-07-28 00:22:40
890609185150312448,24739,3654,9207996,146963,2017-07-27 16:25:51
890240255349198849,28217,6147,9207996,146963,2017-07-26 15:59:51
890006608113172480,27260,6193,9207996,146963,2017-07-26 00:31:25
889880896479866881,24798,4202,9207996,146963,2017-07-25 16:11:53
889665388333682689,42408,8412,9207996,146963,2017-07-25 01:55:32
889638837579907072,23867,3748,9207996,146963,2017-07-25 00:10:02
889531135344209921,13471,1891,9207996,146963,2017-07-24 17:02:04
889278841981685760,22312,4475,9207996,146963,2017-07-24 00:19:32
888917238123831296,25869,3791,9207996,146963,2017-07-23 00:22:39
888804989199671297,22670,3569,9207996,146963,2017-07-22 16:56:37
888554962724278272,17480,2901,9207996,146963,2017-07-22 00:23:06
888078434458587136,19335,2921,9207996,146963,2017-07-20 16:49:33
887705289381826560,26863,4565,9207996,146963,2017-07-19 16:06:48
887517139158093824,41083,9912,9207996,146963,2017-07-19 03:39:09
887473957103951883,60675,15144,9207996,146963,2017-07-19 00:47:34
887343217045368832,29861,8880,9207996,146963,2017-07-18 16:08:03
887101392804085760,27212,5028,9207996,146963,2017-07-18 00:07:08
886983233522544640,30636,6368,9207996,146963,2017-07-17 16:17:36
886736880519319552,10584,2654,9207996,146963,2017-07-16 23:58:41
886680336477933568,19918,3760,9207996,146963,2017-07-16 20:14:00
886366144734445568,18718,2655,9207996,146963,2017-07-15 23:25:31
886267009285017600,105,4,9207996,146963,2017-07-15 16:51:35
886258384151887873,24752,5327,9207996,146963,2017-07-15 16:17:19
886054160059072513,0,93,9207996,146963,2017-07-15 02:45:48
885984800019947520,28845,5664,9207996,146963,2017-07-14 22:10:11
885528943205470208,31850,5374,9207996,146963,2017-07-13 15:58:47
885518971528720385,18162,3134,9207996,146963,2017-07-13 15:19:09
885311592912609280,0,15558,9207996,146963,2017-07-13 01:35:06
885167619883638784,19416,3689,9207996,146963,2017-07-12 16:03:00
884925521741709313,67865,15152,9207996,146963,2017-07-12 00:01:00
884876753390489601,24614,4706,9207996,146963,2017-07-11 20:47:12
884562892145688576,21503,3942,9207996,146963,2017-07-11 00:00:02
884441805382717440,24080,4832,9207996,146963,2017-07-10 15:58:53
